Wavelength,roomT1min1,roomT5min1,roomT5min2
569.8861307,0.106106043,0.109831888,0.112182104
569.9437013,0.105679027,0.11040112,0.111896575
570.0012685,0.105252903,0.109794319,0.110768615
570.0588322,0.104477999,0.108830554,0.109657836
570.1163925,0.103719342,0.106983165,0.107702624
570.1739494,0.101558823,0.105117181,0.106292629
570.2315028,0.099945614,0.104068283,0.105571919
570.2890528,0.098313324,0.103508383,0.105469809
570.3465993,0.09650995,0.102788368,0.105006916
570.4041424,0.095918153,0.102401763,0.105163292
570.461682,0.09537933,0.101498895,0.104624664
570.5192183,0.094914797,0.101319974,0.104560201
570.576751,0.094081319,0.101235365,0.104704514
570.6342804,0.094445075,0.101830371,0.105100953
570.6918063,0.095048745,0.101560184,0.104651256
570.7493287,0.097200395,0.101910851,0.105524234
570.8068477,0.100207211,0.10411739,0.107084958
570.8643633,0.104006089,0.108024337,0.110993186
570.9218754,0.107080631,0.111618825,0.114705578
570.9793841,0.108778346,0.113962001,0.117329872
571.0368893,0.108730588,0.113947065,0.116601295
571.0943911,0.108201272,0.113382789,0.1153271
571.1518895,0.107732004,0.112124956,0.113830848
571.2093844,0.106116138,0.110786257,0.112796807
571.2668759,0.104836666,0.10939368,0.111568664
571.324364,0.104472198,0.109203599,0.111271979
571.3818486,0.105062485,0.109663382,0.112087998
571.4393297,0.106896369,0.111976492,0.114032722
571.4968074,0.111399784,0.116917753,0.118964231
571.5542817,0.116499224,0.122050373,0.124848072
571.6117526,0.121359902,0.126389504,0.129495226
571.66922,0.123986264,0.127739515,0.13110544
571.7266839,0.12340657,0.127183923,0.130377846
571.7841444,0.121581765,0.126230979,0.12911958
571.8416015,0.120670226,0.125053872,0.127671373
571.8990552,0.11943042,0.124296725,0.126683552
571.9565054,0.118497399,0.123618905,0.126047683
572.0139521,0.117392404,0.122061594,0.124601032
572.0713954,0.11791724,0.120438556,0.123184444
572.1288353,0.116841754,0.118406081,0.121409509
572.1862717,0.115693017,0.116394057,0.119018803
572.2437047,0.115249339,0.115080586,0.117636656
572.3011343,0.11412548,0.114070958,0.11722109
572.3585604,0.11410001,0.114275495,0.1173205
572.4159831,0.113684289,0.113863078,0.11655024
572.4734023,0.114001263,0.113621183,0.116620732
572.5308181,0.113166178,0.111796377,0.115498981
572.5882305,0.111713029,0.109891069,0.113651079
572.6456394,0.111011954,0.108288018,0.111759401
572.7030448,0.109977364,0.107719802,0.110556294
572.7604469,0.108737872,0.106021452,0.108724026
572.8178454,0.107632386,0.105374899,0.107903914
572.8752406,0.105921633,0.104502316,0.107204835
572.9326323,0.104397728,0.104155142,0.107077319
572.9900206,0.104347635,0.104618892,0.107882365
573.0474054,0.103106787,0.104531881,0.107962333
573.1047868,0.10172866,0.103832892,0.10719193
573.1621647,0.100056386,0.102837016,0.106376131
573.2195392,0.098803999,0.101908695,0.105248562
573.2769103,0.097704378,0.101554621,0.104343291
573.3342779,0.097198469,0.102222053,0.10414438
573.3916421,0.097070711,0.102276455,0.103317469
573.4490028,0.096688636,0.100547156,0.101512368
573.5063601,0.095190118,0.098807728,0.100246051
573.563714,0.093514112,0.097171235,0.09911063
573.6210644,0.092761865,0.097361528,0.099514828
573.6784114,0.09193698,0.097231886,0.100199528
573.7357549,0.091786286,0.098082703,0.100906718
573.793095,0.090704883,0.098117856,0.100714999
573.8504317,0.089739471,0.09777682,0.100463952
573.9077649,0.089846282,0.096714942,0.099636738
573.9650947,0.089790233,0.096135367,0.098908309
574.022421,0.090452729,0.096644167,0.099333985
574.0797439,0.092569322,0.098114366,0.101022429
574.1370634,0.094107498,0.099483668,0.102464456
574.1943794,0.096219991,0.101343704,0.103996325
574.251692,0.097013597,0.10147262,0.103482692
574.3090011,0.097417627,0.100863036,0.102487168
574.3663068,0.098291489,0.100851752,0.102352939
574.423609,0.099340061,0.101111907,0.102556777
574.4809079,0.099458354,0.100926147,0.102308818
