Wavelength,45_5C_Abs,48_5C_Abs,50_0C_Abs
538.59254,0.312062025,0.440028381,0.365527009
538.6519514,0.314506665,0.446929644,0.373599206
538.7113592,0.323230568,0.468473491,0.387758017
538.7707637,0.343977732,0.500130722,0.408948859
538.8301647,0.390406017,0.57281183,0.462009673
538.8895623,0.457247992,0.677719489,0.543569077
538.9489564,0.491410823,0.700222834,0.581139949
539.0083471,0.492976317,0.698472364,0.575678244
539.0677343,0.496057836,0.708031099,0.582885338
539.1271181,0.48899893,0.694002065,0.576193616
539.1864985,0.477221036,0.673976775,0.562157569
539.2458754,0.472696019,0.668663834,0.553441115
539.3052489,0.465175904,0.659870492,0.546596325
539.3646189,0.462570017,0.659562089,0.545184219
539.4239855,0.451490233,0.638900046,0.52898517
539.4833487,0.44559834,0.626449326,0.516345628
539.5427084,0.440751415,0.621882797,0.513183888
539.6020647,0.437526446,0.618803888,0.511875166
539.6614175,0.42973945,0.604617603,0.505381805
539.7207669,0.416280883,0.582294229,0.487797027
539.7801129,0.402824811,0.570856277,0.471985599
539.8394554,0.396975513,0.561169976,0.468746458
539.8987945,0.394063656,0.562169507,0.464909505
539.9581301,0.386022861,0.545433071,0.455465776
540.0174623,0.37941748,0.527850253,0.445617699
540.076791,0.372068313,0.520991516,0.433738318
540.1361164,0.363752546,0.517524188,0.425279008
540.1954382,0.356127385,0.506563698,0.420389657
540.2547567,0.3479226,0.497243821,0.415467216
540.3140717,0.34690413,0.493181945,0.409572193
540.3733832,0.34540812,0.484247591,0.402051708
540.4326913,0.336940378,0.474561585,0.397462589
540.491996,0.331807338,0.469624578,0.38812798
540.5512972,0.328902433,0.466815514,0.385736052
540.610595,0.32260927,0.460095263,0.383691237
540.6698893,0.322002912,0.459752142,0.378601326
540.7291803,0.320493743,0.44935953,0.372111688
540.7884677,0.31562676,0.443161298,0.368118441
540.8477518,0.316411085,0.453793204,0.375335326
540.9070323,0.321104529,0.464561886,0.385846777
540.9663095,0.335108178,0.485816664,0.401766731
541.0255832,0.38412702,0.565699435,0.460421161
541.0848534,0.450814298,0.666479247,0.537546108
541.1441203,0.493252945,0.720930758,0.586247773
541.2033837,0.499196916,0.723923536,0.595116364
541.2626436,0.502660721,0.722915547,0.598625633
541.3219001,0.493818096,0.703760018,0.579012764
541.3811532,0.493024886,0.693845832,0.574026083
541.4404028,0.486232908,0.694908937,0.572401442
541.499649,0.476492887,0.684310611,0.565323813
541.5588917,0.466967257,0.67007448,0.552388928
541.618131,0.45428989,0.649546383,0.538019493
541.6773669,0.44014396,0.625277185,0.521360798
541.7365993,0.436795275,0.617187107,0.515182364
541.7958283,0.426608441,0.596413418,0.504348588
541.8550538,0.420676041,0.595990688,0.497334226
541.9142759,0.41031296,0.580274045,0.489074501
541.9734945,0.406534625,0.574359476,0.484037279
542.0327098,0.40022098,0.563802167,0.471295439
542.0919215,0.39423955,0.566326172,0.466159066
542.1511299,0.388225388,0.553659129,0.458820634
542.2103348,0.381609809,0.538893019,0.449178381
542.2695362,0.37333651,0.529432345,0.440412281
542.3287342,0.363010697,0.520616174,0.435027571
542.3879288,0.355984491,0.50068078,0.420054966
542.4471199,0.346569869,0.487846971,0.409834976
542.5063076,0.336795703,0.473932724,0.400349175
542.5654919,0.328251504,0.473263865,0.394771528
542.6246727,0.326533951,0.471722612,0.39186878
542.68385,0.324290034,0.464120378,0.38788735
542.743024,0.318753635,0.448782071,0.381049517
542.8021945,0.305644918,0.433186782,0.36389189
542.8613615,0.312730414,0.449365882,0.370154939
542.9205251,0.31731207,0.458652746,0.377903585
542.9796853,0.325880639,0.470366892,0.387886554
543.038842,0.332127124,0.475235565,0.392668361
543.0979953,0.334329191,0.471396622,0.393345326
543.1571451,0.335044848,0.476776136,0.397246421
543.2162915,0.346050239,0.491710357,0.402852783
543.2754345,0.371394587,0.536381931,0.432682586
543.334574,0.421063975,0.626108859,0.503695106
543.3937101,0.478760349,0.708526552,0.573368221
543.4528427,0.504854288,0.729704922,0.599438669
543.5119719,0.500748394,0.719382055,0.591668565
543.5710977,0.494999906,0.712921503,0.584862381
543.63022,0.490651513,0.707335017,0.5786398
543.6893389,0.475569632,0.679033601,0.557678687
543.7484543,0.460010808,0.65789437,0.542098072
543.8075663,0.449590298,0.64088822,0.530806896
543.8666749,0.44367829,0.639366488,0.525891648
543.92578,0.434657621,0.623071653,0.513991008
543.9848817,0.432051062,0.621245304,0.506855568
544.0439799,0.420042022,0.601560731,0.494638633
544.1030747,0.411471831,0.590653168,0.486870764
544.1621661,0.399454699,0.57260299,0.476097511
544.221254,0.387388114,0.544500447,0.456929991
544.2803384,0.385136955,0.547263828,0.453109741
544.3394195,0.375905504,0.541684191,0.443757638
544.3984971,0.369667069,0.531788814,0.435867234
544.4575712,0.365951342,0.528348686,0.431781229
544.5166419,0.357651923,0.511134034,0.421880024
544.5757092,0.353498046,0.507851689,0.417097405
